molecular_trait_id	haQTL	mQTL	eQTL	pQTL
tad1061	FALSE	TRUE	FALSE	FALSE
tad1061	FALSE	TRUE	FALSE	FALSE
tad1063	FALSE	TRUE	FALSE	FALSE
tad1063	FALSE	TRUE	FALSE	FALSE
tad1063	FALSE	TRUE	FALSE	FALSE
tad1063	FALSE	TRUE	FALSE	FALSE
tad1064	FALSE	TRUE	FALSE	FALSE
tad1064	FALSE	TRUE	FALSE	FALSE
tad1064	FALSE	TRUE	FALSE	FALSE
tad1064	FALSE	TRUE	FALSE	FALSE
tad1064	FALSE	TRUE	TRUE	FALSE
tad1065	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1067	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad1068	FALSE	TRUE	FALSE	FALSE
tad107	FALSE	TRUE	FALSE	FALSE
tad107	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	TRUE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1070	FALSE	TRUE	FALSE	FALSE
tad1072	TRUE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	TRUE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1072	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1073	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1074	FALSE	TRUE	FALSE	FALSE
tad1076	FALSE	TRUE	FALSE	FALSE
tad1076	FALSE	TRUE	FALSE	FALSE
tad1076	FALSE	TRUE	FALSE	FALSE
tad1076	FALSE	TRUE	FALSE	FALSE
tad1076	FALSE	TRUE	FALSE	FALSE
tad1076	FALSE	TRUE	FALSE	FALSE
tad1076	FALSE	TRUE	FALSE	FALSE
tad1077	FALSE	TRUE	FALSE	FALSE
tad1077	FALSE	TRUE	FALSE	FALSE
tad1077	FALSE	TRUE	FALSE	FALSE
tad1077	FALSE	TRUE	FALSE	FALSE
tad1077	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
tad1078	FALSE	TRUE	FALSE	FALSE
