molecular_trait_id.x	cs_order.x	molecular_trait_id.y	cs_order.y	n	max_effect.ha	max_effect.m	haQTL_unique_gene	mQTL_unique_gene	shared_gene	cat
tad141	1	tad141	13	14	0.6031522474925358	-0.02715010989581766	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad1411	1	tad1411	2	1	-0.4420047761766759	0.3979443176785562	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad1411	2	tad1411	1	1	-0.11605288823633976	0.5616108855910087	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad1412	4	tad1412	5	1	-0.15249016500418433	0.27644102258677256	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad1417	1	tad1417	7	1	0.3700466481251307	-0.21425088041409376	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad142	1	tad142	1	1	-0.5847841544087874	0.930124905280483	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad144	2	tad144	2	3	-0.2171517395474212	0.4026931416673272	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad146	4	tad146	1	1	-0.12614039064173233	-0.6455834832329627	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad146	5	tad146	4	2	0.15214985949869075	0.4448337193616532	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad153	1	tad153	9	1	-0.18532463916273784	0.1352928938599082	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad154	2	tad154	7	1	0.11809254598972985	-0.1878703493550962	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad157	1	tad157	5	1	0.38171851340408663	-0.04962052356909928	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad161	1	tad161	2	14	0.0987445530064066	-0.4429238250478444	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad165	1	tad165	6	5	0.3313451949670286	0.03745135781168939	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad169	1	tad169	1	1	0.32390571012282804	-0.4293768937048843	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad169	2	tad169	10	7	-0.2094249713414919	0.15410996121429388	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad175	1	tad175	8	1	0.36696765654425934	-0.4038456792042875	TRUE	FALSE	TRUE	Others, R^2 = -0.541
tad18	1	tad18	4	1	-0.7066630688267308	0.3334558166991	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad18	4	tad18	5	3	0.1501312313789806	-0.29016608701738816	FALSE	FALSE	TRUE	Others, R^2 = -0.541
tad183	4	tad183	2	2	-0.06153843867176312	-0.5929602562933006	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad185	1	tad185	8	1	0.5824364085527373	-0.26770565610767677	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad185	2	tad185	4	7	0.4689792391629616	-0.2134007593721154	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad188	1	tad188	13	1	0.4622488900203941	-0.2575782211696313	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad192	3	tad192	10	3	0.32033412355678836	0.08138836433677721	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad199	1	tad199	3	2	-0.07081213724243016	0.13820809957242586	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad2	4	tad2	17	7	-0.11796710385289264	0.27502157888029527	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad20	1	tad20	6	7	0.1492063159909694	-0.23731005493676632	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad213	1	tad213	5	2	0.12784361819648996	-0.35919289367938423	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad214	1	tad214	9	1	-0.4183366164156549	0.10564926998890552	TRUE	FALSE	TRUE	Others, R^2 = -0.541
tad217	1	tad217	3	2	-0.44521127466738625	0.4198518287481465	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad217	2	tad217	16	1	0.01148607651526785	-0.2057395279431029	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad218	4	tad218	1	7	-0.2196412341639925	-0.45578460952877353	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad219	1	tad219	6	1	0.1137006878294952	0.06899827909392105	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad224	2	tad224	3	31	-0.19534538713165783	-0.3409039205311164	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad231	1	tad231	1	31	-0.2881195753518176	0.18631603782567907	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad232	4	tad232	1	4	0.02277305403848462	0.42224816463473264	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad233	3	tad233	6	11	-0.17602098149765208	0.04081578826619768	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad24	1	tad24	1	1	-0.2768381103043287	0.5335567239085782	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad249	1	tad249	1	3	0.42333800994977866	-0.5164750471212693	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad250	2	tad250	13	1	0.23173274173065167	-0.28271833335370966	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad250	3	tad250	5	2	-0.17052500876190785	0.2357970198481778	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad262	1	tad262	4	1	0.4651740854838957	-0.47986357231245386	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad27	2	tad27	4	19	-0.2622978807578914	0.16101501362697496	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad277	4	tad277	3	2	0.10566383772961158	0.155576893173411	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad278	1	tad278	5	1	0.54644204336899	-0.27640784523446754	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad279	1	tad279	5	10	0.2647710029118707	-0.6529974981126329	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad28	1	tad28	1	1	-0.02499874644236546	0.43939506651855953	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad282	1	tad282	7	9	-0.41725773032146335	0.5001379016644361	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad282	2	tad282	8	4	-0.31055772257213876	0.27076899970120033	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad283	2	tad283	1	1	-0.1254295465590855	0.7773323955802138	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad284	2	tad284	9	1	0.3722365775028085	-0.22863602317227075	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad284	4	tad284	3	1	0.1638052091627266	-0.32350663765464144	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad291	2	tad291	1	3	-0.1156590921825878	-0.374705462200242	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad3	2	tad3	2	2	-0.2184010494780088	0.6312339766919082	TRUE	FALSE	TRUE	Others, R^2 = -0.541
tad309	1	tad309	1	1	0.08790805059435731	-0.288289889419095	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad310	1	tad310	1	1	-0.30206523994581846	0.6846575523112934	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad32	1	tad32	1	1	0.10629944815131044	-2.9524104661267556e-13	NA	NA	NA	No TSS in affected region, R^2 = -0.655
tad32	3	tad32	8	2	-0.10301719696279232	-0.18256913079956644	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad322	2	tad322	8	2	-0.2534864017150138	0.35330476706518843	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad322	4	tad322	1	1	0.11284004863957008	-0.7019921674441959	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad322	5	tad322	10	11	-0.10036487757989412	-0.1440241790595677	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad323	1	tad323	1	12	-0.8138686412666901	0.8904944312932956	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad325	1	tad325	16	1	0.2589180753263286	0.09225684016920502	FALSE	TRUE	TRUE	Others, R^2 = -0.541
tad328	2	tad328	7	1	0.18150404131056977	-0.48794739158552086	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad335	1	tad335	2	6	0.569357131446347	0.35767678527891134	TRUE	TRUE	FALSE	Others, R^2 = -0.541
tad342	1	tad342	10	2	0.16228904972861127	-0.10700933863351364	FALSE	TRUE	FALSE	Others, R^2 = -0.541
tad349	2	tad349	2	5	-0.1093810218229742	0.09705400848515644	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad350	2	tad350	5	3	0.1964411740694993	-0.17233212746719212	TRUE	TRUE	TRUE	All TSS shared by haQTL and mQTL CS, R^2 = -0.749 
tad358	3	tad358	9	5	0.18656842736392945	-0.1222347762361714	TRUE	FALSE	FALSE	Others, R^2 = -0.541
tad363	3	tad363	9	3	-0.25581541296208343	0.10397461706754547	FALSE	TRUE	FALSE	Others, R^2 = -0.541
